date,cluster,cluster_description,daily_return
2001-11-29 00:00:00+05:30,0,Uptrend/Profitable,-0.0034086664176316
2001-12-03 00:00:00+05:30,0,Uptrend/Profitable,-0.0016398819285011
2001-12-04 00:00:00+05:30,0,Uptrend/Profitable,0.011544959639572
2001-12-05 00:00:00+05:30,0,Uptrend/Profitable,0.0249141690637468
2001-12-06 00:00:00+05:30,0,Uptrend/Profitable,0.0053415418043547
2001-12-07 00:00:00+05:30,0,Uptrend/Profitable,0.0016659912648024
2001-12-10 00:00:00+05:30,0,Uptrend/Profitable,0.0026521621864605
2001-12-11 00:00:00+05:30,0,Uptrend/Profitable,-0.0045281327056713
2001-12-12 00:00:00+05:30,0,Uptrend/Profitable,-0.0022968834444243
2001-12-13 00:00:00+05:30,0,Uptrend/Profitable,-0.0080350291156954
2001-12-14 00:00:00+05:30,0,Uptrend/Profitable,-0.0099294653014789
2001-12-18 00:00:00+05:30,0,Uptrend/Profitable,-0.0050926606853948
2001-12-19 00:00:00+05:30,2,Sideways/Low Volatility,-0.0199113000092395
2001-12-20 00:00:00+05:30,2,Sideways/Low Volatility,0.0011784115012962
2001-12-21 00:00:00+05:30,2,Sideways/Low Volatility,-0.0105084745762712
2001-12-24 00:00:00+05:30,2,Sideways/Low Volatility,-0.0022267899965741
2001-12-26 00:00:00+05:30,2,Sideways/Low Volatility,-0.013590844062947
2001-12-27 00:00:00+05:30,2,Sideways/Low Volatility,-0.0137781000725163
2001-12-28 00:00:00+05:30,2,Sideways/Low Volatility,0.0135294117647057
2001-12-31 00:00:00+05:30,2,Sideways/Low Volatility,0.0244244534726252
2002-01-01 00:00:00+05:30,2,Sideways/Low Volatility,-0.0035409093055096
2002-01-02 00:00:00+05:30,2,Sideways/Low Volatility,0.0051644082251491
2002-01-03 00:00:00+05:30,0,Uptrend/Profitable,0.0108413858119256
2002-01-04 00:00:00+05:30,0,Uptrend/Profitable,0.0223362089065051
2002-01-07 00:00:00+05:30,0,Uptrend/Profitable,0.0036033570516329
2002-01-08 00:00:00+05:30,0,Uptrend/Profitable,0.0088624278507476
2002-01-09 00:00:00+05:30,0,Uptrend/Profitable,-0.0063969727002434
2002-01-10 00:00:00+05:30,0,Uptrend/Profitable,-0.0041712005803408
2002-01-11 00:00:00+05:30,0,Uptrend/Profitable,-0.0087871061737389
2002-01-14 00:00:00+05:30,0,Uptrend/Profitable,0.0195213816544945
2002-01-15 00:00:00+05:30,0,Uptrend/Profitable,-0.0141016399351233
2002-01-16 00:00:00+05:30,0,Uptrend/Profitable,-0.0035187131563315
2002-01-17 00:00:00+05:30,0,Uptrend/Profitable,0.0173346785288452
2002-01-18 00:00:00+05:30,0,Uptrend/Profitable,-0.0144698882077172
2002-01-21 00:00:00+05:30,0,Uptrend/Profitable,-0.0016557654484747
2002-01-22 00:00:00+05:30,0,Uptrend/Profitable,0.0013744570894496
2002-01-23 00:00:00+05:30,2,Sideways/Low Volatility,-0.0031477617949561
2002-01-24 00:00:00+05:30,2,Sideways/Low Volatility,-0.0037635395630624
2002-01-25 00:00:00+05:30,2,Sideways/Low Volatility,-0.0048005159863632
2002-01-28 00:00:00+05:30,2,Sideways/Low Volatility,-0.008101176753789
2002-01-29 00:00:00+05:30,2,Sideways/Low Volatility,0.0002893572535331
2002-01-30 00:00:00+05:30,2,Sideways/Low Volatility,-0.0039191900340597
2002-01-31 00:00:00+05:30,2,Sideways/Low Volatility,0.0074476556278983
2002-02-01 00:00:00+05:30,2,Sideways/Low Volatility,0.0058117909615027
2002-02-04 00:00:00+05:30,2,Sideways/Low Volatility,-0.0043914390052235
2002-02-05 00:00:00+05:30,2,Sideways/Low Volatility,-0.0024607670164361
2002-02-06 00:00:00+05:30,0,Uptrend/Profitable,0.0361554572957876
2002-02-07 00:00:00+05:30,0,Uptrend/Profitable,-0.0023717758671804
2002-02-08 00:00:00+05:30,0,Uptrend/Profitable,0.0119771263902022
2002-02-11 00:00:00+05:30,0,Uptrend/Profitable,0.0069410456062291
2002-02-12 00:00:00+05:30,0,Uptrend/Profitable,-0.001811674252132
2002-02-13 00:00:00+05:30,0,Uptrend/Profitable,0.0049490925188135
2002-02-14 00:00:00+05:30,0,Uptrend/Profitable,0.0131355222933864
2002-02-15 00:00:00+05:30,0,Uptrend/Profitable,0.0086521739130436
2002-02-18 00:00:00+05:30,0,Uptrend/Profitable,0.0111125479546532
2002-02-19 00:00:00+05:30,0,Uptrend/Profitable,-0.0118856792060296
2002-02-20 00:00:00+05:30,0,Uptrend/Profitable,-0.0111743895072914
2002-02-21 00:00:00+05:30,0,Uptrend/Profitable,0.0033945634626291
2002-02-22 00:00:00+05:30,0,Uptrend/Profitable,0.0118799137271272
2002-02-25 00:00:00+05:30,0,Uptrend/Profitable,0.0016759776536312
2002-02-26 00:00:00+05:30,0,Uptrend/Profitable,0.0205500021450941
2002-02-27 00:00:00+05:30,0,Uptrend/Profitable,-0.0001681520094165
2002-02-28 00:00:00+05:30,2,Sideways/Low Volatility,-0.0396485031954255
2002-03-01 00:00:00+05:30,0,Uptrend/Profitable,0.0314784816776849
2002-03-04 00:00:00+05:30,0,Uptrend/Profitable,-0.0005602716468591
2002-03-05 00:00:00+05:30,0,Uptrend/Profitable,0.0009852718840777
2002-03-06 00:00:00+05:30,0,Uptrend/Profitable,-0.0050148493848112
2002-03-07 00:00:00+05:30,0,Uptrend/Profitable,0.0174485540555522
2002-03-08 00:00:00+05:30,0,Uptrend/Profitable,-0.00452621432463
2002-03-11 00:00:00+05:30,0,Uptrend/Profitable,-0.0166799983160023
2002-03-12 00:00:00+05:30,2,Sideways/Low Volatility,-0.0148907384573228
2002-03-13 00:00:00+05:30,2,Sideways/Low Volatility,0.0057368855665174
2002-03-14 00:00:00+05:30,2,Sideways/Low Volatility,0.0020742405254743
2002-03-15 00:00:00+05:30,2,Sideways/Low Volatility,0.0088835223597394
