open,high,low,close,volume,trend_code,year,month,day,hour,dayofweek,Actual_Label,Predicted_Label
5108.85,5131.3,5051.55,5066.7,0,0,2009,12,7,0,0,Downtrend,Downtrend
1478.95,1498.45,1467.75,1477.85,0,1,2003,10,7,0,1,Sideways,Sideways
6205.7,6216.85,6176.6,6200.05,0,2,2014,2,25,0,1,Uptrend,Uptrend
17721.75,17870.3,17584.2,17854.05,0,2,2023,2,3,0,4,Uptrend,Uptrend
9163.9,9296.9,9141.29,9154.4,0,0,2020,4,24,0,4,Downtrend,Downtrend
18044.35,18103.1,17969.4,18028.2,0,0,2022,11,10,0,3,Downtrend,Downtrend
967.7,978.6,966.55,969.1,0,2,2002,8,7,0,2,Uptrend,Uptrend
19417.1,19443.5,19381.3,19396.45,0,2,2023,8,22,0,1,Uptrend,Uptrend
6328.45,6336.25,6287.8,6328.65,0,2,2014,3,5,0,2,Uptrend,Uptrend
1054.65,1059.9,1046.34,1048.05,0,0,2001,9,3,0,0,Downtrend,Downtrend
5159.35,5176.8,5124.25,5141.8,0,2,2009,10,17,0,5,Uptrend,Uptrend
8514.29,8540.05,8476.7,8528.55,0,1,2016,7,19,0,1,Sideways,Sideways
6286.35,6296.55,6179.5,6194.25,0,0,2010,11,11,0,3,Downtrend,Downtrend
22458.8,22497.6,22388.15,22453.3,0,0,2024,4,2,0,1,Downtrend,Downtrend
21688.0,21726.5,21593.75,21647.2,0,2,2024,1,11,0,3,Uptrend,Uptrend
1143.25,1151.55,1138.65,1146.5,0,2,2002,4,12,0,4,Uptrend,Uptrend
9144.75,9160.0,9120.25,9139.3,0,0,2017,4,17,0,0,Downtrend,Downtrend
8790.29,8826.85,8757.29,8777.15,0,2,2016,9,21,0,2,Uptrend,Uptrend
22486.4,22537.6,22427.6,22513.7,0,1,2024,4,5,0,4,Sideways,Sideways
1787.3,1800.25,1776.7,1797.75,0,2,2004,11,1,0,0,Uptrend,Uptrend
4318.75,4362.85,4244.7,4270.3,0,1,2009,5,20,0,2,Sideways,Sideways
1691.95,1720.65,1691.95,1704.45,0,2,2004,3,25,0,3,Uptrend,Uptrend
23192.6,23350.0,23158.45,23332.35,0,1,2025,4,2,0,2,Sideways,Sideways
21715.0,21801.45,21678.0,21778.7,0,2,2023,12,28,0,3,Uptrend,Uptrend
7731.0,7777.55,7706.85,7735.5,0,2,2016,5,5,0,3,Uptrend,Uptrend
5428.75,5478.8,5377.8,5471.75,0,2,2013,8,23,0,4,Uptrend,Uptrend
4231.45,4390.39,4230.14,4374.95,0,2,2009,7,17,0,4,Uptrend,Uptrend
17094.35,17280.15,17064.7,17241.0,0,0,2022,10,10,0,0,Downtrend,Downtrend
23026.75,23183.35,22976.5,23163.1,0,2,2025,1,29,0,2,Uptrend,Uptrend
17935.05,17947.55,17900.59,17916.8,0,1,2021,11,4,0,3,Sideways,Sideways
4793.0,4826.85,4748.1,4757.2,0,1,2010,2,10,0,2,Sideways,Sideways
5944.9,5976.5,5928.45,5971.05,0,1,2013,5,6,0,0,Sideways,Sideways
24642.25,24956.5,24635.0,24768.35,0,0,2025,7,31,0,3,Downtrend,Downtrend
4915.14,5016.6,4897.6,5003.1,0,2,2010,5,27,0,3,Uptrend,Uptrend
4257.6,4298.85,4248.89,4293.25,0,2,2007,5,29,0,1,Uptrend,Uptrend
25030.8,25129.6,24964.65,25052.35,0,2,2024,8,28,0,2,Uptrend,Uptrend
25546.85,25781.5,25508.6,25709.85,0,2,2025,10,17,0,4,Uptrend,Uptrend
1064.15,1071.7,1058.34,1065.59,0,2,2003,2,20,0,3,Uptrend,Uptrend
10310.5,10329.2,10282.04,10322.25,0,2,2017,12,11,0,0,Uptrend,Uptrend
10135.04,10166.6,10079.29,10124.9,0,0,2018,10,25,0,3,Downtrend,Downtrend
21825.2,21951.4,21737.55,21929.4,0,0,2024,2,6,0,1,Downtrend,Downtrend
23344.45,23441.95,23295.95,23322.95,0,2,2024,6,12,0,2,Uptrend,Uptrend
11148.4,11157.15,11113.25,11132.0,0,2,2018,7,25,0,2,Uptrend,Uptrend
7755.25,7873.65,7753.55,7866.05,0,2,2016,5,9,0,0,Uptrend,Uptrend
4314.2,4352.25,4221.89,4235.25,0,1,2009,6,22,0,0,Sideways,Sideways
9107.6,10159.4,8555.15,9955.2,0,2,2020,3,13,0,4,Uptrend,Uptrend
5163.25,5164.2,5108.1,5117.95,0,0,2012,7,23,0,0,Downtrend,Downtrend
8456.65,8460.6,8284.95,8296.3,0,0,2016,11,11,0,4,Downtrend,Downtrend
5901.2,5919.0,5897.15,5905.1,0,1,2012,12,31,0,0,Sideways,Sideways
8556.04,8685.1,8555.9,8677.9,0,2,2016,10,18,0,1,Uptrend,Uptrend
19027.25,19041.7,18837.85,18857.25,0,0,2023,10,26,0,3,Downtrend,Downtrend
6082.75,6097.85,6067.35,6089.5,0,2,2014,1,31,0,4,Uptrend,Uptrend
3633.85,3703.05,3632.2,3690.65,0,1,2007,4,3,0,1,Sideways,Sideways
1001.05,1001.05,972.55,973.5,0,0,2002,7,26,0,4,Downtrend,Downtrend
6792.7,6813.4,6711.75,6733.1,0,0,2014,4,15,0,1,Downtrend,Downtrend
7828.4,7831.2,7763.25,7784.65,0,0,2016,1,5,0,1,Downtrend,Downtrend
